,y,x,image,flux_e,flux
142,1045.16199642 pix,1001.04663471 pix,0143,519.8270156536149,250987.03763079495
143,1044.94532798 pix,1001.00412971 pix,0144,515.1365950297828,243261.25737098095
144,1044.8347118 pix,1001.00490001 pix,0145,517.22353956068,255052.6259044784
145,1044.99114754 pix,1000.23164754 pix,0146,519.6010438156383,262624.16537486564
146,1045.00396972 pix,1000.2369136 pix,0147,528.0433238119505,294607.0153393199
147,1044.13523676 pix,1000.07631888 pix,0148,535.0035338167863,311659.6350292796
148,1044.85761164 pix,999.840671353 pix,0149,529.3074051380954,300525.3496564386
149,1045.07079921 pix,999.806042777 pix,0150,518.2008719593601,273980.38188117504
150,1045.07437807 pix,999.122765864 pix,0151,530.3785643059681,306263.1070789375
151,1045.82994635 pix,998.905457764 pix,0152,521.8924351573634,280611.55650567124
152,1044.92532258 pix,998.870530794 pix,0153,515.2747256260687,260648.41526435156
153,1045.10239473 pix,998.122984631 pix,0154,517.0296654557352,269111.8518782963
154,1045.90838773 pix,998.075202268 pix,0155,515.6950675900191,265391.66772358416
155,1046.00754162 pix,998.06742054 pix,0156,513.9341560368551,269959.490964029
156,1045.15715319 pix,998.869973468 pix,0157,509.2734226642027,250832.10979616013
157,1045.98254117 pix,998.876189126 pix,0158,516.0718066426824,270281.074591295
158,1045.89155 pix,998.115153826 pix,0159,514.0636306929944,270114.2889912731
159,1046.21052929 pix,997.920631234 pix,0160,524.6558790989168,300085.1240476264
160,1045.96051659 pix,997.913845037 pix,0161,519.5285196320393,289074.0850982006
161,1046.00964967 pix,997.947318467 pix,0162,516.6787398457542,284650.9677257949
162,1045.91686668 pix,996.934356102 pix,0163,510.07633773084274,265785.75359918736
163,1045.21794933 pix,996.0683952 pix,0164,499.75531007674755,235799.31307723047
164,1046.12752233 pix,995.934114465 pix,0165,499.209016532658,241313.45896574273
165,1046.11595407 pix,996.078506848 pix,0166,508.3867732756849,262778.80450824695
166,1046.09811132 pix,995.970419417 pix,0167,510.84764489698927,271737.81396306364
167,1045.21807673 pix,995.897779929 pix,0168,498.2241099643244,236879.0965233825
168,1045.99850901 pix,995.178773456 pix,0169,487.1169610969287,204814.2364100258
169,1045.18956613 pix,994.994975509 pix,0170,481.5800245463657,179188.14582251752
170,1045.85031759 pix,995.147526539 pix,0171,478.2507598583307,170521.84672824666
171,1045.80025203 pix,995.111867834 pix,0172,498.07186867296076,239971.3128909113
172,1045.84685546 pix,994.196919131 pix,0173,503.8742403498692,249325.58295161964
173,1045.90001579 pix,994.238141133 pix,0174,490.14880745838076,206964.74530027405
174,1045.89746908 pix,994.900824067 pix,0175,494.7666635978853,216595.51088981947
175,1045.94954169 pix,994.98187237 pix,0176,482.6878761564791,180266.71740949043
176,1046.04952318 pix,994.788646098 pix,0177,474.7632084854783,150660.65822310548
177,1046.22758013 pix,994.061065581 pix,0178,468.3699133673007,121392.05380157079
178,1047.01635398 pix,993.995720938 pix,0179,471.1044873679058,141678.6424003892
179,1046.2185195 pix,993.856906089 pix,0180,474.06503555327777,159390.55753590926
180,1046.20563036 pix,994.003941592 pix,0181,466.8690673133262,132026.0854587613
181,1046.18080242 pix,993.181062675 pix,0182,465.5839369297018,131665.84244333723
